84, -3.184789, 55.944043, 260, -3.184841, 55.943747, null
85, -3.184841, 55.943747, 250, -3.184944, 55.943466, sentences.sings.modern
86, -3.184944, 55.943466, 110, -3.185046, 55.943747, null
87, -3.185046, 55.943747, 110, -3.185149, 55.944029, null
88, -3.185149, 55.944029, 110, -3.185252, 55.944311, null
89, -3.185252, 55.944311, 110, -3.185354, 55.944593, null
90, -3.185354, 55.944593, 110, -3.185457, 55.944875, null
91, -3.185457, 55.944875, 110, -3.185560, 55.945157, null
92, -3.185560, 55.945157, 110, -3.185662, 55.945439, null
93, -3.185662, 55.945439, 100, -3.185714, 55.945734, null
94, -3.185714, 55.945734, 110, -3.185817, 55.946016, renew.slows.basket
95, -3.185817, 55.946016, 190, -3.186112, 55.945964, null
96, -3.186112, 55.945964, 200, -3.186394, 55.945862, null
97, -3.186394, 55.945862, 190, -3.186690, 55.945809, null
98, -3.186690, 55.945809, 200, -3.186972, 55.945707, null
99, -3.186972, 55.945707, 190, -3.187267, 55.945655, diner.leaves.mutual
101, -3.187267, 55.945655, 190, -3.187562, 55.945603, null
102, -3.187562, 55.945603, 190, -3.187858, 55.945551, null
103, -3.187858, 55.945551, 190, -3.188153, 55.945499, null
104, -3.188153, 55.945499, 290, -3.188051, 55.945217, null
105, -3.188051, 55.945217, 290, -3.187948, 55.944935, null
106, -3.187948, 55.944935, 290, -3.187845, 55.944653, null
